shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
fd8cfb59-da55-4eaa-b557-6b2950043674,40.4580567643097,-86.9315372599178,42,2605.23
8efabf15-d065-404b-b1bb-535c12a9b3be,40.4030069690892,-86.8363601935208,26,3287.74
10661157-85f9-4587-9139-0124cd3c3f7f,40.3842550434886,-86.9010188573479,74,5605.05
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.4460622363634,-86.9402231148415,58,3897.74
ee49c7f5-2351-445b-b4ed-f0f3503377f4,40.39168,-86.84966,39,2297.16
1934197d-f175-49a7-839e-fc3ac6bf46fa,40.4045967003375,-86.8741502467381,14,1341.02
0be019d1-53dc-4049-9821-016d4e7d7ee0,40.4372269608091,-86.9061898840489,97,5150.49
53fab52c-1139-47cc-9b3f-f3b9d78d86eb,40.4482602729161,-86.9446508392947,61,1783.98
17d55fe2-a8f1-4ddc-850e-0d203d1b2c6c,40.4182111835754,-86.8954628587629,86,7284.83
8d44af5f-359d-49f6-8b0b-cdbb682b958f,40.3817785977108,-86.8684994828479,28,2769.18
78dd6ba2-f1b9-40c8-b5b9-37967e740e9e,40.4065186512078,-86.8657129737596,76,4788.11
7e86a5a0-948f-4743-b41d-59a7e2126f1a,40.4233344151577,-86.8906288975852,17,763.71
4fd2167d-7855-4648-8faf-21606791a86c,40.4428387186476,-86.9124431715545,119,4065.79
190df76a-874b-4006-aed3-168253df771a,40.3836430224729,-86.8426031345524,161,12835.94
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.4182371642154,-86.8942494161065,6,398.05
79578537-88cd-4d42-9745-49cf6f3c5712,40.3879402820243,-86.8968279454528,157,12598.72
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.3820268974095,-86.8445531754696,151,12166.8
bb15a4a7-6c6e-4815-834c-680d5a343d63,40.4032273987723,-86.8277945039846,106,6847.18
0be019d1-53dc-4049-9821-016d4e7d7ee0,40.4546881428923,-86.9156478213582,154,7381.28
3f0501eb-3b2c-4ffd-ac91-7aea62ab0db7,40.420016592548,-86.8858939608456,15,811.91
3f0501eb-3b2c-4ffd-ac91-7aea62ab0db7,40.4200314233495,-86.8820887524374,20,1135.41
5b84de10-9e34-4d39-ade5-2c36fd4e64a8,40.4320621552656,-86.8453487567713,108,7699.77
991a95f3-1510-4bce-a830-fde22f082f7f,40.424168083549,-86.9159999156584,71,5024.99
0be019d1-53dc-4049-9821-016d4e7d7ee0,40.4391277648575,-86.9077818631503,108,5411.46
4fd2167d-7855-4648-8faf-21606791a86c,40.4247180652411,-86.8933156623633,216,8447.68
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.3851357331953,-86.9114240653172,71,5599.89
301daf7e-05b7-4ad1-b986-4685dced1276,40.424201,-86.923336,16,1319.6
cb2c14f0-3cf3-4b84-a135-816b58d5b909,40.4321173091005,-86.8842774262594,167,9817.09
0be019d1-53dc-4049-9821-016d4e7d7ee0,40.46060028166,-86.9329227460106,234,9532.6
1545ee20-7633-4938-adf4-673f4586f25a,40.3902523197922,-86.813959154444,114,10002.4
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.4308892194171,-86.9324080688343,85,6243.32
e842f5a1-f2f3-4e5d-b025-0ada6d3caf83,40.3732233870194,-86.8759891712195,63,5786.38
b3ee4a19-563f-496d-909b-28caa69cda68,40.4657986649885,-86.9318075518731,25,2701.34
14783f1e-cfa7-456e-b1fa-020478b8a0f6,40.3917025262356,-86.8446633861562,86,6720.09
10661157-85f9-4587-9139-0124cd3c3f7f,40.3818196959882,-86.8687273612557,29,2789
bb15a4a7-6c6e-4815-834c-680d5a343d63,40.3924219053697,-86.8368507990629,17,1342.75
10661157-85f9-4587-9139-0124cd3c3f7f,40.3836564101424,-86.8950521223951,61,5074.46
ae4e6ab1-7163-47ea-944d-e1327f042a0c,40.446225911726,-86.880243580567,42,3278.93
7ccaf41c-7298-458b-a035-fcd1b3090f39,40.3815641611095,-86.8826083186135,126,8933.09
190df76a-874b-4006-aed3-168253df771a,40.3817709017856,-86.88395019674,124,8817
8efabf15-d065-404b-b1bb-535c12a9b3be,40.3996491670399,-86.8052984360038,3,164.64
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.4579289963502,-86.931435068769,13,790.77
7e86a5a0-948f-4743-b41d-59a7e2126f1a,40.4361238523035,-86.8621617741674,72,3991.85
2e9b92bf-5c8d-47d6-b94e-566a87fcac71,40.4312804714502,-86.9326828168225,25,3514.42
fd8cfb59-da55-4eaa-b557-6b2950043674,40.4668784740257,-86.9470820631846,21,691.28
190df76a-874b-4006-aed3-168253df771a,40.3839838291578,-86.8423761970904,159,12792.84
501cc08b-1c0f-4ec5-a494-40954216987d,40.4362063113268,-86.9153774272368,50,3654.66
41320e98-b337-4bf2-9eff-4b8b6ac97941,40.4304828479395,-86.9321658316031,89,6293.57
